id,type,latitude,longitude
1004353,ethernet,50.0785,14.4905
1004353,ethernet,50.3915,30.4615
1004353,ethernet,49.1995,16.6385
1004353,ethernet,38.7585,-9.2825
1004353,ethernet,55.6905,12.4995
1004353,ethernet,47.3495,8.3695
1004353,ethernet,47.3375,8.6695
1004353,ethernet,51.4975,7.0495
1004353,ethernet,51.4315,6.7875
1004353,ethernet,38.8085,-9.1195
1004353,ethernet,50.4405,30.6185
1004353,ethernet,48.9485,2.1405
1004353,ethernet,52.4595,4.5895
1004353,ethernet,50.6295,5.5585
1004353,ethernet,55.8415,37.6385
1004353,ethernet,43.0715,-77.5925
1004353,ethernet,47.3715,8.5385
1004353,ethernet,42.6975,23.3175
1004353,ethernet,52.3475,4.9095
1004353,ethernet,51.4705,6.7575
1004353,ethernet,51.4985,7.0195
1004353,ethernet,45.4485,-122.7915
1004353,ethernet,52.2905,4.5915
1004353,ethernet,38.7585,-9.2015
1004353,ethernet,-23.5615,-46.6525
1004353,ethernet,50.4985,30.3805
1004353,ethernet,55.8275,37.5395
1004353,ethernet,46.6615,6.5175
1004353,ethernet,53.1575,8.6105
1004353,ethernet,38.7605,-9.2805
1004353,ethernet,55.6415,12.6015
1004353,ethernet,49.2175,16.5305
1004353,ethernet,40.8895,-74.6815
1004353,ethernet,52.3715,4.8975
1004353,ethernet,14.6005,121.0385
1004353,ethernet,51.5375,-0.0515
1004353,ethernet,-33.7915,151.0475
1004353,ethernet,32.9175,-117.1395
1004353,ethernet,48.7985,2.0615
1004353,ethernet,38.7885,-9.3105
1004353,ethernet,45.5075,-122.6095
1004353,ethernet,49.1785,16.6885
1004353,ethernet,55.6985,12.5905
1004353,ethernet,53.2295,6.5285
1004353,ethernet,49.2085,16.5995
1004353,ethernet,55.7385,37.4915
1004353,ethernet,55.8595,37.4675
1004353,ethernet,-20.9495,55.3015
1004353,ethernet,50.5115,30.5075
1004353,ethernet,49.8105,18.2495
1004353,ethernet,51.5815,-0.1115
1004353,ethernet,50.6905,5.6995
1004353,ethernet,38.7575,-9.2785
1004353,ethernet,61.1215,-149.7705
1004353,ethernet,50.0095,14.4485
1004353,ethernet,38.7585,-9.2785
1004353,ethernet,52.4595,4.6085
1004353,ethernet,52.3375,9.8305
1004353,ethernet,48.0785,11.5515
1004353,ethernet,41.0075,28.9785
